,SourceID,RA,Dec,int_prediction,references,status
94,4000706034421,53.036889,-27.9811017,0.9846203327178956,"['2003A&A...403..493M', '2003A&A...403..493M']",Referenced
95,4000706034486,53.0650054,-27.9675812,0.9561943411827089,"['2012MNRAS.425.2116C', '2003A&A...403..493M', '2017ApJ...840...78D']",Referenced
96,4000706034718,53.05721679999999,-27.9500938,0.9706833958625792,['2003A&A...403..493M'],Referenced
97,4000706034868,53.0603475,-27.9412951,0.9966243505477904,"['2003A&A...403..493M', '2016ApJ...830...51S']",Referenced
98,4000706211853,1.8711075,0.8636326999999999,0.9862363934516908,No_entry,Unreferenced
99,4000706213802,1.8897544,0.8910731,0.9808042645454408,No_entry,Unreferenced
100,4000706216005,1.8689233,0.8630941999999999,0.9653136134147644,No_entry,Unreferenced
101,4000706217826,1.8507695,0.8891207,0.9565430283546448,No_entry,Unreferenced
102,4000706219125,1.887128,0.9167542,0.9828604459762572,No_entry,Unreferenced
103,4000706273323,189.3480959,62.15704010000001,0.9856104254722596,['2004AJ....127.3137C'],Referenced
104,4000706273370,189.3548713,62.16860500000001,0.9968315958976746,"['2014MNRAS.444.2133S', '2018ApJS..235...34O']",Referenced
105,4000706311452,24.1704404,41.5393776,0.997959852218628,No_entry,Unreferenced
106,4000706490477,189.4526807,62.22941529999999,0.9631019234657288,"['2004ApJ...600L..93G', '2004ApJ...600L..93G']",Referenced
107,4000706591374,211.2124444,54.509271700000006,0.9607717990875244,No_entry,Unreferenced
108,4000706591642,211.1883171,54.5147397,0.9619899392127992,No_entry,Unreferenced
109,4000706593066,211.1980272,54.5428382,0.9558619260787964,No_entry,Unreferenced
110,4000706638072,14.912267800000002,32.41740410000001,0.9620057940483092,No_entry,Unreferenced
111,4000706649921,150.0592642,2.21971,0.996882438659668,"['2017ApJS..228....7N', '2007ApJS..172...46S', '2017ApJS..228....7N', '2016ApJ...830...51S', '2017ApJS..228....7N', '2007ApJS..172...46S']",Referenced
112,4000706651683,191.0115865,-34.2220441,0.9968072175979614,No_entry,Unreferenced
113,4000706651840,190.9989361,-34.209478600000004,0.9554548859596252,No_entry,Unreferenced
114,4000706651979,190.9813256,-34.20437570000001,0.9631800055503844,No_entry,Unreferenced
115,4000706652183,190.9965649,-34.1954958,0.9885849356651306,No_entry,Unreferenced
116,4000706652318,191.02733490000003,-34.1896932,0.9777316451072692,No_entry,Unreferenced
117,4000706652386,191.0238613,-34.1840117,0.9999982118606568,['2011MNRAS.416.2840L'],Referenced
118,4000706652411,190.9958899,-34.1826476,0.984706461429596,No_entry,Unreferenced
